MNHN	Fishes collection (IC) of the Muséum national d'Histoire naturelle (MNHN - Paris)		Patrice Pruvost	http://collections.mnhn.fr/ipt/archive.do?r=mnhn-ic	gbifprovider@mnhn.fr	http://collections.mnhn.fr/ipt/eml.do?r=mnhn-ic		f58922e2-93ed-4703-ba22-12a0674d1b54	2cd829bb-b713-433d-99cf-64bef11e5b3e			no migrator	FishNet,VertNet	France	Museum national d'Histoire naturelle	Île-de-France	Mon Dec 15 00:00:00 UTC 2014	http://collections.mnhn.fr/ipt/resource.do?r=mnhn-ic	http://collections.mnhn.fr/ipt/resource.do?r=mnhn-ic	http://coldb.mnhn.fr/catalognumber/mnhn/ic/1975-0868									1975-0868				grece	GR														1970																													3										kato soulimarat															http://coldb.mnhn.fr/catalognumber/mnhn/ic/1975-0868											stephanidis																			1970												MNHN	IC			PreservedSpecimen												Phoxinellus marathonicus (vinciguerra, 1921)																			(vinciguerra, 1921)					
MNHN	Fishes collection (IC) of the Muséum national d'Histoire naturelle (MNHN - Paris)		Patrice Pruvost	http://collections.mnhn.fr/ipt/archive.do?r=mnhn-ic	gbifprovider@mnhn.fr	http://collections.mnhn.fr/ipt/eml.do?r=mnhn-ic		f58922e2-93ed-4703-ba22-12a0674d1b54	2cd829bb-b713-433d-99cf-64bef11e5b3e			no migrator	FishNet,VertNet	France	Museum national d'Histoire naturelle	Île-de-France	Mon Dec 15 00:00:00 UTC 2014	http://collections.mnhn.fr/ipt/resource.do?r=mnhn-ic	http://collections.mnhn.fr/ipt/resource.do?r=mnhn-ic	http://coldb.mnhn.fr/catalognumber/mnhn/ic/0000-4690									0000-4690				etats-unis	US														1867																													2																									http://coldb.mnhn.fr/catalognumber/mnhn/ic/0000-4690											cope																		b.de delaware	1867												MNHN	IC			PreservedSpecimen												Rhinichthys cataractae cataractae (valenciennes, 1842)																			(valenciennes, 1842)					
MNHN	Fishes collection (IC) of the Muséum national d'Histoire naturelle (MNHN - Paris)		Patrice Pruvost	http://collections.mnhn.fr/ipt/archive.do?r=mnhn-ic	gbifprovider@mnhn.fr	http://collections.mnhn.fr/ipt/eml.do?r=mnhn-ic		f58922e2-93ed-4703-ba22-12a0674d1b54	2cd829bb-b713-433d-99cf-64bef11e5b3e			no migrator	FishNet,VertNet	France	Museum national d'Histoire naturelle	Île-de-France	Mon Dec 15 00:00:00 UTC 2014	http://collections.mnhn.fr/ipt/resource.do?r=mnhn-ic	http://collections.mnhn.fr/ipt/resource.do?r=mnhn-ic	http://coldb.mnhn.fr/catalognumber/mnhn/ic/0000-4676									0000-4676				etats-unis	US														1867																													1																									http://coldb.mnhn.fr/catalognumber/mnhn/ic/0000-4676											cope																		b.de delaware	1867												MNHN	IC			PreservedSpecimen												Ictalurus melas (rafinesque, 1820)																			(rafinesque, 1820)					
MNHN	Fishes collection (IC) of the Muséum national d'Histoire naturelle (MNHN - Paris)		Patrice Pruvost	http://collections.mnhn.fr/ipt/archive.do?r=mnhn-ic	gbifprovider@mnhn.fr	http://collections.mnhn.fr/ipt/eml.do?r=mnhn-ic		f58922e2-93ed-4703-ba22-12a0674d1b54	2cd829bb-b713-433d-99cf-64bef11e5b3e			no migrator	FishNet,VertNet	France	Museum national d'Histoire naturelle	Île-de-France	Mon Dec 15 00:00:00 UTC 2014	http://collections.mnhn.fr/ipt/resource.do?r=mnhn-ic	http://collections.mnhn.fr/ipt/resource.do?r=mnhn-ic	http://coldb.mnhn.fr/catalognumber/mnhn/ic/1981-0666									1981-0666				cote d'ivoire	CI														1977-6																												huber	3										mbingue													6		http://coldb.mnhn.fr/catalognumber/mnhn/ic/1981-0666											leveque																		bandama	1977												MNHN	IC			PreservedSpecimen												Epiplatys bifasciatus (steindachner, 1881)																			(steindachner, 1881)					
MNHN	Fishes collection (IC) of the Muséum national d'Histoire naturelle (MNHN - Paris)		Patrice Pruvost	http://collections.mnhn.fr/ipt/archive.do?r=mnhn-ic	gbifprovider@mnhn.fr	http://collections.mnhn.fr/ipt/eml.do?r=mnhn-ic		f58922e2-93ed-4703-ba22-12a0674d1b54	2cd829bb-b713-433d-99cf-64bef11e5b3e			no migrator	FishNet,VertNet	France	Museum national d'Histoire naturelle	Île-de-France	Mon Dec 15 00:00:00 UTC 2014	http://collections.mnhn.fr/ipt/resource.do?r=mnhn-ic	http://collections.mnhn.fr/ipt/resource.do?r=mnhn-ic	http://coldb.mnhn.fr/catalognumber/mnhn/ic/1981-0683									1981-0683				cote d'ivoire	CI														1977-6																												huber	68										mbingue													6		http://coldb.mnhn.fr/catalognumber/mnhn/ic/1981-0683											leveque																		bandama	1977												MNHN	IC			PreservedSpecimen												Micropanchax pfaffi (daget, 1954)																			(daget, 1954)					
MNHN	Fishes collection (IC) of the Muséum national d'Histoire naturelle (MNHN - Paris)		Patrice Pruvost	http://collections.mnhn.fr/ipt/archive.do?r=mnhn-ic	gbifprovider@mnhn.fr	http://collections.mnhn.fr/ipt/eml.do?r=mnhn-ic		f58922e2-93ed-4703-ba22-12a0674d1b54	2cd829bb-b713-433d-99cf-64bef11e5b3e			no migrator	FishNet,VertNet	France	Museum national d'Histoire naturelle	Île-de-France	Mon Dec 15 00:00:00 UTC 2014	http://collections.mnhn.fr/ipt/resource.do?r=mnhn-ic	http://collections.mnhn.fr/ipt/resource.do?r=mnhn-ic	http://coldb.mnhn.fr/catalognumber/mnhn/ic/0000-1445									0000-1445				chine	CN														1863-5																			petit ruisseau des montagnes									desoutter	5										pekin													5		http://coldb.mnhn.fr/catalognumber/mnhn/ic/0000-1445	VOIR AUSSI BERG, 1932 IN BULL. MUS. HIST. NAT., PARIS, (2)IV:646 POUR L'ATTRIBUTION DE L'ESPECE										abbe david								SYNTYPE											1863												MNHN	IC			PreservedSpecimen												Phoxinus lagowskii oxycephalus (sauvage & dabry de thiersant, 1874)																			(sauvage & dabry de thiersant, 1874)					
MNHN	Fishes collection (IC) of the Muséum national d'Histoire naturelle (MNHN - Paris)		Patrice Pruvost	http://collections.mnhn.fr/ipt/archive.do?r=mnhn-ic	gbifprovider@mnhn.fr	http://collections.mnhn.fr/ipt/eml.do?r=mnhn-ic		f58922e2-93ed-4703-ba22-12a0674d1b54	2cd829bb-b713-433d-99cf-64bef11e5b3e			no migrator	FishNet,VertNet	France	Museum national d'Histoire naturelle	Île-de-France	Mon Dec 15 00:00:00 UTC 2014	http://collections.mnhn.fr/ipt/resource.do?r=mnhn-ic	http://collections.mnhn.fr/ipt/resource.do?r=mnhn-ic	http://coldb.mnhn.fr/catalognumber/mnhn/ic/a-1615									A-1615				russie	RU														1879																													2										astrakhan															http://coldb.mnhn.fr/catalognumber/mnhn/ic/a-1615											inconnu							astrakhan												1879												MNHN	IC			PreservedSpecimen												Rutilus rutilus rutilus (linnaeus, 1758)																			(linnaeus, 1758)					
MNHN	Fishes collection (IC) of the Muséum national d'Histoire naturelle (MNHN - Paris)		Patrice Pruvost	http://collections.mnhn.fr/ipt/archive.do?r=mnhn-ic	gbifprovider@mnhn.fr	http://collections.mnhn.fr/ipt/eml.do?r=mnhn-ic		f58922e2-93ed-4703-ba22-12a0674d1b54	2cd829bb-b713-433d-99cf-64bef11e5b3e			no migrator	FishNet,VertNet	France	Museum national d'Histoire naturelle	Île-de-France	Mon Dec 15 00:00:00 UTC 2014	http://collections.mnhn.fr/ipt/resource.do?r=mnhn-ic	http://collections.mnhn.fr/ipt/resource.do?r=mnhn-ic	http://coldb.mnhn.fr/catalognumber/mnhn/ic/1959-0036									1959-0036				nigeria	NG																																											1																									http://coldb.mnhn.fr/catalognumber/mnhn/ic/1959-0036	MEME BOCAL QUE 1959-37										clausen																															MNHN	IC			PreservedSpecimen												Phractura clauseni daget & stauch, 1963																			daget & stauch, 1963					
MNHN	Fishes collection (IC) of the Muséum national d'Histoire naturelle (MNHN - Paris)		Patrice Pruvost	http://collections.mnhn.fr/ipt/archive.do?r=mnhn-ic	gbifprovider@mnhn.fr	http://collections.mnhn.fr/ipt/eml.do?r=mnhn-ic		f58922e2-93ed-4703-ba22-12a0674d1b54	2cd829bb-b713-433d-99cf-64bef11e5b3e			no migrator	FishNet,VertNet	France	Museum national d'Histoire naturelle	Île-de-France	Mon Dec 15 00:00:00 UTC 2014	http://collections.mnhn.fr/ipt/resource.do?r=mnhn-ic	http://collections.mnhn.fr/ipt/resource.do?r=mnhn-ic	http://coldb.mnhn.fr/catalognumber/mnhn/ic/1959-0035									1959-0035				nigeria	NG																																											2																									http://coldb.mnhn.fr/catalognumber/mnhn/ic/1959-0035											clausen																															MNHN	IC			PreservedSpecimen												Procatopus gracilis clausen, 1959																			clausen, 1959					
MNHN	Fishes collection (IC) of the Muséum national d'Histoire naturelle (MNHN - Paris)		Patrice Pruvost	http://collections.mnhn.fr/ipt/archive.do?r=mnhn-ic	gbifprovider@mnhn.fr	http://collections.mnhn.fr/ipt/eml.do?r=mnhn-ic		f58922e2-93ed-4703-ba22-12a0674d1b54	2cd829bb-b713-433d-99cf-64bef11e5b3e			no migrator	FishNet,VertNet	France	Museum national d'Histoire naturelle	Île-de-France	Mon Dec 15 00:00:00 UTC 2014	http://collections.mnhn.fr/ipt/resource.do?r=mnhn-ic	http://collections.mnhn.fr/ipt/resource.do?r=mnhn-ic	http://coldb.mnhn.fr/catalognumber/mnhn/ic/1959-0037									1959-0037				nigeria	NG																																											1																									http://coldb.mnhn.fr/catalognumber/mnhn/ic/1959-0037	MEME BOCAL QUE 1959-36										clausen																															MNHN	IC			PreservedSpecimen												Phractura clauseni daget & stauch, 1963																			daget & stauch, 1963					
